,formula,A1,A1_ratio,nA1,A2,A2_ratio,nA2,B1,B1_ratio,B2,B2_ratio,X,X_ratio,Ra,Rb,Rx,nA
166,Sm1Co0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Co,0.19999999999999996,O,3,1.24,0.546,1.4,3
167,Sm1Fe0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Fe,0.19999999999999996,O,3,1.24,0.553,1.4,3
168,Sm1Nb0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Nb,0.19999999999999996,O,3,1.24,0.552,1.4,3
169,Sm1In0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,In,0.19999999999999996,O,3,1.24,0.5840000000000001,1.4,3
170,Sm1Er0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Er,0.19999999999999996,O,3,1.24,0.602,1.4,3
171,Sm1Sn0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Sn,0.19999999999999996,O,3,1.24,0.562,1.4,3
172,Sm1Zr0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Zr,0.19999999999999996,O,3,1.24,0.5680000000000001,1.4,3
173,Sm1Be0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Be,0.19999999999999996,O,3,1.24,0.514,1.4,3
174,Sm1Hf0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Hf,0.19999999999999996,O,3,1.24,0.5660000000000001,1.4,3
175,Sm1Ti0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Ti,0.19999999999999996,O,3,1.24,0.545,1.4,3
176,Sm1Ga0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Ga,0.19999999999999996,O,3,1.24,0.548,1.4,3
177,Sm1Si0.2Ge0.8O3,Sm,1,3,Sm,0,3,Ge,0.8,Si,0.19999999999999996,O,3,1.24,0.504,1.4,3
